label,Ver,Last-Modified-JST,feed_start_date,feed_end_date,feed_version,feed_publisher_name,license_name,url
(HODaP) 道南バス,1,2023-04-01 09:00,20230401,20231231,20221001_2022年10月01日（道南バス　23.4.1改正） その筋屋 1.623,道南バス株式会社,CC BY 4.0,https://ckan.hoda.jp/dataset/24d1dd70-5395-4d6b-b41f-0d83e8eabdb9/resource/a70d369c-405c-4c25-996c-c70aa53682bc/download/dounan_bus.zip
北海道拓殖バス　一般路線、コミュニティバス（音更町・新得町・清水町）,1,2023-01-25 18:41,20221228,20231227,20220112_2022年01月12日（★一般路線改正 仕業入り全体4.12） その筋屋 1.616,北海道拓殖バス株式会社,CC BY 4.0,https://www.takubus.com/app/download/10941479479/GTFS_regular_line.zip
北海道拓殖バス 都市間高速バス・帯広空港連絡バス,1,,,,,,CC BY 4.0,https://www.takubus.com/app/download/11135470279/GTFS_highway_line.zip
(HODaP) 北海道拓殖バス,1,2022-11-15 15:42,20220916,20230915,20220112_2022年01月12日（★一般路線改正 仕業入り全体4.9） その筋屋 1.595,北海道拓殖バス株式会社,CC BY 4.0,https://ckan.hoda.jp/dataset/24d1dd70-5395-4d6b-b41f-0d83e8eabdb9/resource/3870b272-dabb-4527-9d51-67afc2c9a2d5/download/gtfs_takushoku_bus.zip
十勝バス　一般路線、コミュニティバス,1,,,,,,(オープンデータとして公開),https://www.tokachibus.jp/download/20221205GTFS-dia.zip
(HODaP) 十勝バス,1,2021-11-24 16:09,20211121,20221120,20211121_2021年11月21日（ダイヤ改正　十勝バス 最新版） その筋屋 1.537,十勝バス株式会社 ,CC BY 4.0,https://ckan.hoda.jp/dataset/24d1dd70-5395-4d6b-b41f-0d83e8eabdb9/resource/9ad9de7f-73a9-4695-858f-c09cdf13437a/download/20211121gtfs-dia.zip
(HODaP) 網走バス,1,2023-03-31 18:00,20230401,20230531,20230401,網走バス株式会社,CC BY 4.0,https://ckan.hoda.jp/dataset/24d1dd70-5395-4d6b-b41f-0d83e8eabdb9/resource/c84abf64-f7ba-4d22-8cc1-acac7adbdc6f/download/abashiri_bus.zip
網走バス,1,2023-03-31 17:57,20230401,20230531,20230401,網走バス株式会社,CC BY 4.0,https://www.abashiribus.com/open_data/gtfs_abashiribus_current_data.zip
北海道北見バス,1,,20230401,20240331,20230401_2023年04月01日（20230401改正 夏ダイヤGoogle maps掲載用端野常呂） その筋屋 1.623,北海道北見バス株式会社,CC BY 4.0,https://drive.google.com/uc?export=view&id=13MQ00Oq6pJgHpB2jz5nG1iay0fEyXpAj
(HODaP) 北海道北見バス,1,2022-02-04 17:28,20211201,20220331,20211201_2021年12月01日（20211201改正 冬ダイヤ編集温根湯変更） その筋屋 1.540,北海道北見バス株式会社,CC BY 4.0,https://ckan.hoda.jp/dataset/24d1dd70-5395-4d6b-b41f-0d83e8eabdb9/resource/ae0e85ab-b317-4acd-b982-2ceda019309f/download/kitami_bus-1.zip
